nmrFileName,peakid,researcher,username,instrument,organization,date
1273_13Cpg,,Chad J.,johnsc7,NMR,Magarvey Lab,Fri Mar 27 00:00:00 EDT 2015
1273_COSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Sat Mar 28 00:00:00 EDT 2015
1273_DEPT,,Chad J.,johnsc7,NMR,Magarvey Lab,Wed Apr 01 00:00:00 EDT 2015
1273_HMBC,,Chad J.,johnsc7,NMR,Magarvey Lab,Sat Mar 28 00:00:00 EDT 2015
1273_HMBCqf,,Chad J.,johnsc7,NMR,Magarvey Lab,Fri Apr 03 00:00:00 EDT 2015
1273_HSQC,,Chad J.,johnsc7,NMR,Magarvey Lab,Sun Mar 29 00:00:00 EDT 2015
1273_HSQC_TOCSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Sat Mar 28 00:00:00 EDT 2015
1273_NHMBC,,Chad J.,johnsc7,NMR,Magarvey Lab,Tue Apr 07 00:00:00 EDT 2015
1273_NHSQC,,Chad J.,johnsc7,NMR,Magarvey Lab,Tue Apr 07 00:00:00 EDT 2015
1273_NOESY,,Chad J.,johnsc7,NMR,Magarvey Lab,Sun Mar 29 00:00:00 EDT 2015
1273_Proton,,Chad J.,johnsc7,NMR,Magarvey Lab,Fri Mar 27 00:00:00 EDT 2015
1273_TOCSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Mon Mar 30 00:00:00 EDT 2015
2x5mWTelo_13C,,Chad J.,johnsc7,NMR,Magarvey Lab,Thu Apr 09 00:00:00 EDT 2015
2x5mWTelo_COSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Wed Apr 08 00:00:00 EDT 2015
2x5mWTelo_HMBC,,Chad J.,johnsc7,NMR,Magarvey Lab,Sat Apr 11 00:00:00 EDT 2015
2x5mWTelo_HSQC,,Chad J.,johnsc7,NMR,Magarvey Lab,Sat Apr 11 00:00:00 EDT 2015
2x5mWTelo_NOESY,,Chad J.,johnsc7,NMR,Magarvey Lab,Thu Apr 16 00:00:00 EDT 2015
2x5mWTelo_Proton,,Chad J.,johnsc7,NMR,Magarvey Lab,Mon Apr 06 00:00:00 EDT 2015
2x5mWTelo_TOCSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Fri Apr 10 00:00:00 EDT 2015
304DMSO_COSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Wed May 11 20:38:00 EDT 2016
304DMSO_DEPT,,Chad J.,johnsc7,NMR,Magarvey Lab,Thu May 12 01:08:00 EDT 2016
304DMSO_HMBC,,Chad J.,johnsc7,NMR,Magarvey Lab,Thu May 12 09:08:00 EDT 2016
304DMSO_HSQC,,Chad J.,johnsc7,NMR,Magarvey Lab,Wed May 11 18:38:00 EDT 2016
304DMSO_Proton,,Chad J.,johnsc7,NMR,Magarvey Lab,Wed May 11 14:38:00 EDT 2016
304_13Cpg,,Chad J.,johnsc7,NMR,Magarvey Lab,Tue May 10 17:38:00 EDT 2016
304_COSY,,Chad J.,johnsc7,NMR,Magarvey Lab,Tue May 10 21:08:00 EDT 2016
304_DEPT,,Chad J.,johnsc7,NMR,Magarvey Lab,Tue May 10 19:38:00 EDT 2016
304_HMBC,,Chad J.,johnsc7,NMR,Magarvey Lab,Wed May 11 04:38:00 EDT 2016
304_HSQC,,Chad J.,johnsc7,NMR,Magarvey Lab,Wed May 11 00:38:00 EDT 2016
304_NOESY,,Chad J.,johnsc7,NMR,Magarvey Lab,Wed May 11 06:08:00 EDT 2016
304_Proton,,Chad J.,johnsc7,NMR,Magarvey Lab,Tue May 10 15:38:00 EDT 2016
