nmrFileName,peakid,researcher,username,instrument,organization,date
03122010-wyattamF6-4,,Morgan W,wyattam,NMR,Magarvey Lab,Tue Dec 07 00:00:00 EST 2010
Telo2 1256,,Morgan W,wyattam,NMR,Magarvey Lab,Tue Sep 24 00:00:00 EDT 2013
Telo2 1256 COSY,,Morgan W,wyattam,NMR,Magarvey Lab,Wed Sep 25 00:00:00 EDT 2013
Telo2 Late 1256,,Morgan W,wyattam,NMR,Magarvey Lab,Tue Sep 24 00:00:00 EDT 2013
Telo3 #3 1226,,Morgan W,wyattam,NMR,Magarvey Lab,Tue Sep 24 00:00:00 EDT 2013
Telo3 #4 1242,,Morgan W,wyattam,NMR,Magarvey Lab,Tue Sep 24 00:00:00 EDT 2013
Telo3 1240,,Morgan W,wyattam,NMR,Magarvey Lab,Tue Sep 24 00:00:00 EDT 2013
Telo3 1258,,Morgan W,wyattam,NMR,Magarvey Lab,Tue Sep 24 00:00:00 EDT 2013
Telo4 #11 1242,,Morgan W,wyattam,NMR,Magarvey Lab,Tue Sep 24 00:00:00 EDT 2013
Telo4 #12 1224,,Morgan W,wyattam,NMR,Magarvey Lab,Tue Sep 24 00:00:00 EDT 2013
Telo4 #13 1226,,Morgan W,wyattam,NMR,Magarvey Lab,Tue Sep 24 00:00:00 EDT 2013
Telo4 #8 1224,,Morgan W,wyattam,NMR,Magarvey Lab,Tue Sep 24 00:00:00 EDT 2013
Telo4 #8 1224 Late,,Morgan W,wyattam,NMR,Magarvey Lab,Tue Sep 24 00:00:00 EDT 2013
Telo4 #9 1242,,Morgan W,wyattam,NMR,Magarvey Lab,Tue Sep 24 00:00:00 EDT 2013
Telomycin1034,,Morgan W,wyattam,NMR,Magarvey Lab,Tue Sep 24 00:00:00 EDT 2013
wyattam-11052011_D321L-3,,Morgan W,wyattam,NMR,Magarvey Lab,Wed May 11 00:00:00 EDT 2011
wyattam-11052011_D321l-3-Deptq,,Morgan W,wyattam,NMR,Magarvey Lab,Wed May 11 00:00:00 EDT 2011
wyattam-12052011_D321,,Morgan W,wyattam,NMR,Magarvey Lab,Thu May 12 00:00:00 EDT 2011
